study_name,study_type,study_role,suite_name,suite_run_id,run_id,timestamp_utc,manifest_hash,code_version_marker,split_id,train_split,test_split,seed,trace_seed,variant_tag,variant_label,policy,menu_k,ablation_tag,is_reference,reference_tag,reference_policy,paired_reference_policy,paired_baseline_policy,checkpoint_path,checkpoint_reused,checkpoint_source,is_behavior_non_degenerate,episodes,served_customers,travel_time,travel_cost,service_cost,failure_cost,discount_cost,charge_revenue,total_cost,net_profit,home_pickup_count,average_menu_size,avg_meeting_point_count_per_menu,home_pickup_only_share,home_pickup_only_with_feasible_meeting_point_share,home_pickup_share,avg_walk_distance,avg_pickup_time_deviation,avg_in_vehicle_time,avg_chosen_predicted_cost,avg_chosen_price,avg_menu_build_time,avg_step_time,opt_out_rate,acceptance_rate,non_home_acceptance_rate,consumer_surplus,price_at_floor_fraction,price_at_ceil_fraction,mean_net_profit_gap_vs_reference,mean_total_cost_gap_vs_reference,net_profit_win_rate_vs_reference,net_profit_gap_ci95_half_width_vs_reference,mean_net_profit_gap_vs_baseline,mean_total_cost_gap_vs_baseline,net_profit_win_rate_vs_baseline,net_profit_gap_ci95_half_width_vs_baseline,avg_fn_pruning_rate,avg_eta_mae,avg_ivt_mae,avg_displayed_eta_mae,avg_displayed_ivt_mae,avg_displayed_eta_bias,avg_displayed_ivt_bias,exact_gap_logged_share,avg_exact_menu_value,avg_greedy_menu_value,avg_relative_optimality_gap,avg_menu_overlap_rate,avg_exact_build_time,avg_greedy_build_time,avg_exact_gap_candidate_count,split_count,split_ids,display_label
phase34_outside_option_scan_00,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T164517Z_a4925ab8,,a4925ab8197c3c05a31fca3a066e6338cbc9ac72,nogit-9578488bc2bc,,,,,,flat_markdown,flat markdown pricing,menu_optimization,3,flat_markdown,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262460.0,2230.91,1465.653725,748.0,0.75,0.0,4445.313725,-4445.313725,374.0,1.5421122994652405,0.5421122994652408,0.45811051693404636,0.0,1.0,0.0,3045.5679566403355,4159.4867637604475,39.7908640020446,-3.0,0.030479086563860107,0.03282404487783259,0.999331550802139,0.0006684491978609652,0.0,-0.1875,0.0,0.0,4.185716666666622,-4.185716666666622,0.5833333333333334,3.948517410335942,6.907450000000002,-6.907450000000002,0.75,9.26249763100409,0.8747326203208556,0.0,0.0,2983.749774549059,2629.604197719176,2983.749774549059,-2629.604197719176,0.5418894830659537,0.018031963226584048,0.018031963226584048,0.0,1.0,0.000695212665784677,0.00038080644553019523,2.3098930062708285,2,"rc_0_to_1,rc_1_to_0",flat markdown pricing
phase34_outside_option_scan_00,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T164517Z_a4925ab8,,a4925ab8197c3c05a31fca3a066e6338cbc9ac72,nogit-9578488bc2bc,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262670.0,2232.695,1465.1377749999997,747.6666666666667,4.0,0.0,4449.499441666667,-4449.499441666667,373.83333333333337,2.252673796791444,1.2526737967914439,0.45811051693404636,0.0,0.999554367201426,3.2085561497326203,3043.7040111189585,4157.470720979699,39.78932162236546,-5.122525659828639,0.029656398529451424,0.032138141453159894,0.998217468805704,0.0017825311942959072,0.000445632798573975,-0.875,0.5833333333333334,0.0,,,,,,,,,0.8747326203208556,127.680234760046,93.15996453166008,2913.252220259169,2550.7794196651994,2913.252220259169,-2550.7794196651994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",full display
phase34_outside_option_scan_p05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T170143Z_29e7a43e,,29e7a43e8fe7fe2b0eb3904a589536e246e470d8,nogit-9578488bc2bc,,,,,,strict_filter,strict-filter heuristic,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262710.0,2233.0350000000003,1465.137775,747.6666666666667,6.5,0.0,4452.339441666667,-4452.339441666667,373.83333333333337,1.6432709447415332,0.643270944741533,0.45811051693404636,0.0,0.999554367201426,3.2085561497326203,3043.790604926987,4157.470986183115,40.00903457455168,-5.121901105697001,0.030969111475073446,0.03335073935581826,0.997103386809269,0.0028966131907308497,0.000445632798573975,-1.0,0.6666666666666666,0.0,-4.935358333333321,4.935358333333321,0.16666666666666666,7.5131160794326695,,,,,0.8747326203208556,63.84008510969579,46.57993806526065,2888.7107537589663,2526.676662218175,2888.7107537589663,-2526.676662218175,0.5418894830659537,0.05536249210739069,0.05536249210739069,0.0,1.0,0.0008805825107545755,0.000510574034787698,2.3098930062708285,2,"rc_0_to_1,rc_1_to_0",strict-filter heuristic
phase34_outside_option_scan_p05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T170143Z_29e7a43e,,29e7a43e8fe7fe2b0eb3904a589536e246e470d8,nogit-9578488bc2bc,,,,,,no_filter,no-filter heuristic,menu_optimization,3,no_filter,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262440.0,2230.7400000000002,1465.653725,748.0,3.0,0.0,4447.393725,-4447.393725,374.0,2.3680926916221035,1.3680926916221035,0.0,0.0,1.0,0.0,3045.5678403291026,4159.487028963864,39.7908640020446,-5.119417361304969,0.033011337900840876,0.03544582811693882,0.9986631016042781,0.0013368983957219305,0.0,-0.625,0.41666666666666663,0.0,0.010358333333366998,-0.010358333333366998,0.3333333333333333,4.694942846557517,4.945716666666689,-4.945716666666689,0.3333333333333333,8.968512571121408,0.0,0.0,0.0,2766.8478276323385,2454.8311717891766,2766.8478276323385,-2454.8311717891766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",no-filter heuristic
phase34_outside_option_scan_p05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T170143Z_29e7a43e,,29e7a43e8fe7fe2b0eb3904a589536e246e470d8,nogit-9578488bc2bc,,,,,,flat_markdown,flat markdown pricing,menu_optimization,3,flat_markdown,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262460.0,2230.9100000000003,1465.653725,748.0,0.5,0.0,4445.063725,-4445.063725,374.0,1.5421122994652405,0.5421122994652408,0.45811051693404636,0.0,1.0,0.0,3045.5678403291026,4159.487028963864,39.7908640020446,-3.0,0.030741031127441268,0.03311430924503986,0.999554367201426,0.0004456327985739768,0.0,-0.125,0.0,0.0,2.34035833333337,-2.34035833333337,0.41666666666666663,3.9139124891748547,7.275716666666691,-7.275716666666691,0.6666666666666666,8.567567728967191,0.8747103386809267,0.0,0.0,2983.9460358549914,2629.5139611855748,2983.9460358549914,-2629.5139611855748,0.5418894830659537,0.018031966886099843,0.018031966886099843,0.0,1.0,0.0007039623609160985,0.0003877117549057083,2.310331602762057,2,"rc_0_to_1,rc_1_to_0",flat markdown pricing
phase34_outside_option_scan_p05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T170143Z_29e7a43e,,29e7a43e8fe7fe2b0eb3904a589536e246e470d8,nogit-9578488bc2bc,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262550.0,2231.675,1465.3957499999997,747.8333333333333,2.5,0.0,4447.404083333333,-4447.404083333333,373.91666666666663,2.252896613190731,1.2528966131907309,0.45811051693404636,0.0,0.999777183600713,1.6042780748663101,3044.660767855667,4158.47900757349,39.79010324001251,-5.122525639810937,0.029511724219960397,0.031965730768261535,0.998885918003565,0.001114081996434942,0.0002228163992869875,-0.5,0.3333333333333333,0.0,,,,,,,,,0.8747103386809267,63.84008510969579,46.57993806526065,2913.2331417718706,2550.6402242621452,2913.2331417718706,-2550.6402242621452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",full display
phase34_outside_option_scan_p10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T171811Z_4ebffb68,,4ebffb68c3d6c9b0ea043299ff233db1c5b79994,nogit-9578488bc2bc,,,,,,strict_filter,strict-filter heuristic,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262730.0,2233.2050000000004,1465.137775,747.6666666666667,3.5,0.0,4449.509441666667,-4449.509441666667,373.83333333333337,1.6432709447415332,0.643270944741533,0.45811051693404636,0.0,0.999554367201426,3.2085561497326203,3043.7909861989942,4157.470920468994,40.00903457455168,-5.121901187166127,0.03092405675151846,0.03332584687307769,0.998440285204991,0.0015597147950089187,0.000445632798573975,-0.5,0.3333333333333333,0.0,-3.4457166666666885,3.4457166666666885,0.16666666666666666,7.473642348353728,,,,,0.8747549019607844,63.84018289856613,46.58002059906721,2888.7986442234137,2526.6105407220366,2888.7986442234137,-2526.6105407220366,0.5418894830659537,0.05536243678609183,0.05536243678609183,0.0,1.0,0.0008798005857655606,0.0005104073906889428,2.309532255910078,2,"rc_0_to_1,rc_1_to_0",strict-filter heuristic
phase34_outside_option_scan_p10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T171811Z_4ebffb68,,4ebffb68c3d6c9b0ea043299ff233db1c5b79994,nogit-9578488bc2bc,,,,,,no_filter,no-filter heuristic,menu_optimization,3,no_filter,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262390.0,2230.3150000000005,1465.653725,748.0,1.5,0.0,4445.468725000001,-4445.468725000001,374.0,2.3680926916221035,1.3680926916221035,0.0,0.0,1.0,0.0,3045.5682205552393,4159.486963249743,39.7908640020446,-5.119417570516934,0.03266505514700696,0.035086117698122046,0.999331550802139,0.0006684491978609652,0.0,-0.375,0.25,0.0,0.5950000000000273,-0.5950000000000273,0.25,2.7762140922974536,4.040716666666716,-4.040716666666716,0.3333333333333333,7.147993972108734,0.0,0.0,0.0,2766.5652505628505,2454.2051488368866,2766.5652505628505,-2454.2051488368866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",no-filter heuristic
phase34_outside_option_scan_p10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T171811Z_4ebffb68,,4ebffb68c3d6c9b0ea043299ff233db1c5b79994,nogit-9578488bc2bc,,,,,,flat_markdown,flat markdown pricing,menu_optimization,3,flat_markdown,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262410.0,2230.485,1465.653725,748.0,0.25,0.0,4444.388725000001,-4444.388725000001,374.0,1.5421122994652405,0.5421122994652408,0.45811051693404636,0.0,1.0,0.0,3045.5682205552393,4159.486963249743,39.7908640020446,-3.0,0.030447133489451356,0.03279964665678096,0.999777183600713,0.0002228163992869884,0.0,-0.0625,0.0,0.0,1.6750000000000302,-1.6750000000000302,0.41666666666666663,2.5600258365178488,5.120716666666718,-5.120716666666718,0.5,7.900344696781172,0.8747326203208556,0.0,0.0,2984.022347034559,2629.4487557246607,2984.022347034559,-2629.4487557246607,0.5418894830659537,0.018031950171632845,0.018031950171632845,0.0,1.0,0.0007127333515398906,0.00039440368796468754,2.309970852401306,2,"rc_0_to_1,rc_1_to_0",flat markdown pricing
phase34_outside_option_scan_p10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T171811Z_4ebffb68,,4ebffb68c3d6c9b0ea043299ff233db1c5b79994,nogit-9578488bc2bc,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262460.0,2230.9100000000003,1465.653725,748.0,1.5,0.0,4446.063725,-4446.063725,374.0,2.252673796791444,1.2526737967914439,0.45811051693404636,0.0,1.0,0.0,3045.5682205552393,4159.486963249743,39.7908640020446,-5.122525913528376,0.02933831372551312,0.031784988129627684,0.999331550802139,0.0006684491978609652,0.0,-0.375,0.25,0.0,,,,,,,,,0.8747326203208556,0.0,0.0,2913.4194374518265,2550.6501805033695,2913.4194374518265,-2550.6501805033695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",full display
