study_name,study_type,study_role,suite_name,suite_run_id,run_id,timestamp_utc,manifest_hash,code_version_marker,split_id,train_split,test_split,seed,trace_seed,variant_tag,variant_label,policy,menu_k,ablation_tag,is_reference,reference_tag,reference_policy,paired_reference_policy,paired_baseline_policy,checkpoint_path,checkpoint_reused,checkpoint_source,is_behavior_non_degenerate,episodes,served_customers,travel_time,travel_cost,service_cost,failure_cost,discount_cost,charge_revenue,total_cost,net_profit,home_pickup_count,average_menu_size,avg_meeting_point_count_per_menu,home_pickup_only_share,home_pickup_only_with_feasible_meeting_point_share,home_pickup_share,avg_walk_distance,avg_pickup_time_deviation,avg_in_vehicle_time,avg_chosen_predicted_cost,avg_chosen_price,avg_menu_build_time,avg_step_time,opt_out_rate,acceptance_rate,non_home_acceptance_rate,consumer_surplus,price_at_floor_fraction,price_at_ceil_fraction,mean_net_profit_gap_vs_reference,mean_total_cost_gap_vs_reference,net_profit_win_rate_vs_reference,net_profit_gap_ci95_half_width_vs_reference,mean_net_profit_gap_vs_baseline,mean_total_cost_gap_vs_baseline,net_profit_win_rate_vs_baseline,net_profit_gap_ci95_half_width_vs_baseline,avg_fn_pruning_rate,avg_eta_mae,avg_ivt_mae,avg_displayed_eta_mae,avg_displayed_ivt_mae,split_count,split_ids,display_label
rc_menu_k_robustness,menu_k_robustness,support,,,20260410T123033Z_a9aae7c2,,a9aae7c27ad1cbe16f83693ce500bb0aad9ad293,nogit-ee794f6d24eb,,,,,,menu_optimization_k3,menu_optimization (k=3),menu_optimization,3,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,,6.0,374.0,284980.0,2422.3300000000004,1080.6458,517.2222222222223,2108.2501045807385,102.35349445043079,6026.094632352531,-6026.094632352531,258.61111111111114,2.084670231729055,1.0846702317290553,0.22712418300653595,0.0,0.691473559120618,2793.547237076649,2061.576308928335,5410.570409982175,23.319447378120415,-5.363359920134513,0.03209333279750028,0.03479081169169217,,0.30852644087938197,,,,,-8.718936452209213,8.718936452209062,0.4444444444444444,47.468666815095645,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",menu_optimization (k=3)
rc_menu_k_robustness,menu_k_robustness,support,,,20260410T123033Z_a9aae7c2,,a9aae7c27ad1cbe16f83693ce500bb0aad9ad293,nogit-ee794f6d24eb,,,,,,menu_optimization_k4,menu_optimization (k=4),menu_optimization,4,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,,6.0,374.0,285066.6666666667,2423.066666666667,1081.8845333333331,517.3333333333333,2108.121530218205,101.79579784841678,6028.610265703122,-6028.610265703122,258.66666666666663,2.0940285204991085,1.0940285204991087,0.22905525846702315,0.0,0.6916221033868092,2801.2299465240644,2059.711373773309,5413.244206773618,24.762940903591314,-5.364507305801574,0.03231191752851037,0.03502584899102232,,0.3083778966131908,,,,,-11.234569802801161,11.234569802800957,0.49999999999999994,44.50979573853152,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",menu_optimization (k=4)
rc_menu_k_robustness,menu_k_robustness,support,,,20260410T123033Z_a9aae7c2,,a9aae7c27ad1cbe16f83693ce500bb0aad9ad293,nogit-ee794f6d24eb,,,,,,menu_optimization_k5,menu_optimization (k=5),menu_optimization,5,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,,6.0,374.0,285300.0,2425.0500000000006,1081.8845333333331,517.3333333333333,2108.121530218205,101.79579784841678,6030.593599036455,-6030.593599036455,258.66666666666663,2.0940285204991085,1.0940285204991087,0.22905525846702315,0.0,0.6916221033868092,2801.2299465240644,2059.711373773309,5413.244206773618,24.762940903591314,-5.364507305801574,0.032375349405949876,0.035088053751190146,,0.3083778966131908,,,,,-13.217903136134334,13.217903136134282,0.38888888888888884,43.97008457226371,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",menu_optimization (k=5)
rc_menu_ablation,ablation,support,,,20260410T130514Z_92809b8c,,92809b8cb5797d3e19b4d4028d93c55bd70177b5,nogit-ee794f6d24eb,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,283800.0,2412.3,1073.2355,512.9999999999999,2114.003085183743,97.88366701106973,6014.654918172673,-6014.654918172673,256.49999999999994,2.432412358882947,1.432412358882947,0.2263814616755793,0.0,0.6858288770053477,2905.044563279858,2055.0355831189063,5392.959001782531,23.693506979974217,-5.390693631477737,0.03141203694438021,0.034337496870837605,,0.31417112299465233,,,,,,,,,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",full display
rc_menu_ablation,ablation,support,,,20260410T130514Z_92809b8c,,92809b8cb5797d3e19b4d4028d93c55bd70177b5,nogit-ee794f6d24eb,,,,,,menu_optimization,menu optimization,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,284666.6666666667,2419.6666666666665,1080.6458,517.2222222222223,2108.2495371324626,102.35351720283576,6023.430708818517,-6023.430708818517,258.61111111111114,2.084670231729055,1.0846702317290553,0.22712418300653595,0.0,0.691473559120618,2793.547237076649,2061.576308928335,5410.570409982175,23.319536323153613,-5.363358342057826,0.032479839350898716,0.03521939600356901,,0.30852644087938197,,,,,-8.775790645842335,8.775790645842283,0.4444444444444444,46.28021677552786,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",strict-filter heuristic
rc_menu_ablation,ablation,support,,,20260410T130514Z_92809b8c,,92809b8cb5797d3e19b4d4028d93c55bd70177b5,nogit-ee794f6d24eb,,,,,,no_capacity_risk_penalty,no capacity-risk penalty,menu_optimization,3,no_capacity_risk_penalty,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,286933.3333333333,2438.9333333333334,1078.8851666666667,516.7777777777778,2113.9651552035357,98.0080213054732,6050.55341167584,-6050.55341167584,258.3888888888889,2.1013071895424837,1.1013071895424835,0.22697563874034463,0.0,0.6908793820558526,2803.2798573975047,2055.2045105822594,5424.0998217468805,24.027679822906844,-5.390259716304981,0.03218989584382471,0.03487317380066507,,0.30912061794414736,,,,,-35.89849350316687,35.89849350316692,0.3888888888888889,53.942942329750046,-27.122702857324537,27.12270285732464,0.3333333333333333,52.770157555467996,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",no capacity-risk penalty
rc_menu_ablation,ablation,support,,,20260410T130514Z_92809b8c,,92809b8cb5797d3e19b4d4028d93c55bd70177b5,nogit-ee794f6d24eb,,,,,,no_keep_home,no forced home retention,menu_optimization,3,no_keep_home,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,251146.66666666666,2134.7466666666664,323.9537000000001,171.55555555555554,2159.212266909007,69.00030879704144,4720.4678803341885,-4720.4678803341885,85.77777777777777,1.0049019607843137,0.7755496137849079,0.22935234699940585,0.0,0.22935234699940585,6681.622103386809,966.6264419755576,6594.22459893048,27.98560386363185,-5.588802027037342,0.03193634236404375,0.03448809878994721,,0.7706476530005941,,,,,1294.1870378384858,-1294.1870378384854,1.0,96.14008592655249,1302.9628284843282,-1302.9628284843277,1.0,82.38660878735776,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",no forced home retention
rc_menu_ablation,ablation,support,,,20260410T130514Z_92809b8c,,92809b8cb5797d3e19b4d4028d93c55bd70177b5,nogit-ee794f6d24eb,,,,,,no_route_delay_penalty,no route-delay penalty,menu_optimization,3,no_route_delay_penalty,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,286553.3333333333,2435.7033333333334,1073.4701000000002,513.8888888888888,2116.1346995780073,95.80844423149644,6043.388577568733,-6043.388577568733,256.9444444444444,2.1140819964349373,1.1140819964349378,0.22786690433749257,0.0,0.6870172311348782,2847.1836007130128,2059.316158338938,5411.033868092692,25.350683988614765,-5.4019418592152695,0.032129139183667416,0.03482706449036079,,0.3129827688651218,,,,,-28.733659396059366,28.733659396059362,0.4444444444444444,58.492657964802646,-19.95786875021703,19.957868750217077,0.3888888888888889,53.956578373312915,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",no route-delay penalty
rc_menu_ablation,ablation,support,,,20260410T130514Z_92809b8c,,92809b8cb5797d3e19b4d4028d93c55bd70177b5,nogit-ee794f6d24eb,,,,,,no_time_filtering,no time filtering,menu_optimization,3,no_time_filtering,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,313613.3333333333,2665.7133333333336,451.36898333333335,219.33333333333334,2160.6154402151037,64.82833311164183,5432.202757103462,-5432.202757103462,109.66666666666667,3.5387700534759357,2.5387700534759357,0.0,0.0,0.29322638146167557,5367.700534759359,3195.035190542538,3406.5953654188943,22.81250501021222,-5.603708842522624,0.038798267958908214,0.04142471699932821,,0.7067736185383244,,,,,582.4521610692118,-582.452161069212,1.0,105.7700607456788,591.2279517150541,-591.2279517150542,1.0,117.87456710040478,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",no time filtering
rc_menu_ablation_v2,ablation,support,,,20260411T110227Z_9d859ce3,,9d859ce30dd51a4f0820dd290d8b2b14e5f14513,nogit-9ab21d3d44e4,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,282320.0,2399.7200000000007,1073.2355,512.9999999999999,2114.0027842274812,97.8838266954117,6002.0744575320705,-6002.0744575320705,256.49999999999994,2.432412358882947,1.432412358882947,0.2263814616755793,0.0,0.6858288770053477,2905.044563279858,2055.0355831189063,5392.959001782531,23.69368059968563,-5.390692399818367,0.02818392150889694,0.03074793137756048,,0.31417112299465233,,,,,,,,,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",full display
rc_menu_ablation_v2,ablation,support,,,20260411T110227Z_9d859ce3,,9d859ce30dd51a4f0820dd290d8b2b14e5f14513,nogit-9ab21d3d44e4,,,,,,menu_optimization_v2,menu optimization v2,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,312753.3333333333,2658.4033333333336,446.6072833333333,217.33333333333334,2161.982482251235,64.73980569708401,5419.586626554151,-5419.586626554152,108.66666666666667,3.5530303030303028,2.5530303030303028,0.0,0.0,0.2905525846702317,5393.440285204991,3200.6032196090127,3392.6559714795007,22.963599731727413,-5.607600739449602,0.035323806715233,0.037708613572202836,,0.7094474153297683,,,,,582.4878309779183,-582.4878309779184,1.0,109.97768000773146,,,,,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",no-filter heuristic
rc_menu_ablation_v2,ablation,support,,,20260411T110227Z_9d859ce3,,9d859ce30dd51a4f0820dd290d8b2b14e5f14513,nogit-9ab21d3d44e4,,,,,,v2_add_time_filtering,v2 with time filtering restored,menu_optimization,3,v2_add_time_filtering,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,283506.6666666667,2409.806666666667,1080.6458,517.2222222222223,2108.249438660264,102.35348438519198,6013.57064316396,-6013.57064316396,258.61111111111114,2.084670231729055,1.0846702317290553,0.22712418300653595,0.0,0.691473559120618,2793.547237076649,2061.576308928335,5410.570409982175,23.31966767721247,-5.363358166510888,0.029149830051303793,0.03158403129996959,,0.30852644087938197,,,,,-11.496185631890967,11.496185631890967,0.4444444444444444,45.61733564035878,-593.9840166098093,593.9840166098094,0.0,111.02627238558154,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025",no-filter heuristic + ETA filter restored
rc_menu_ablation_v2,ablation,support,,,20260411T110227Z_9d859ce3,,9d859ce30dd51a4f0820dd290d8b2b14e5f14513,nogit-9ab21d3d44e4,,,,,,v2_no_capacity_risk_penalty,v2 no capacity-risk penalty,menu_optimization,3,v2_no_capacity_risk_penalty,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,313060.0,2661.01,454.6769000000001,219.22222222222226,2156.663070462455,69.7973525173798,5421.774840167298,-5421.774840167298,109.61111111111113,3.509061200237671,2.509061200237671,0.0,0.0,0.29307783719548425,5356.916221033868,3193.243924622912,3396.827094474154,24.862028053871956,-5.57985486081571,0.03604243098566142,0.038472984315948124,,0.7069221628045157,,,,,580.299617364772,-580.2996173647717,1.0,98.45916824133106,-2.1882136131464187,2.1882136131467234,0.6666666666666666,105.4211219452746,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025","no-filter heuristic, no capacity-risk penalty"
rc_menu_ablation_v2,ablation,support,,,20260411T110227Z_9d859ce3,,9d859ce30dd51a4f0820dd290d8b2b14e5f14513,nogit-9ab21d3d44e4,,,,,,v2_no_keep_home,v2 no forced home retention,menu_optimization,3,v2_no_keep_home,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,307200.0,2611.2000000000003,0.0,0.0,2244.0,0.0,4855.200000000001,-4855.200000000001,0.0,1.0,1.0,0.0,0.0,0.0,6459.197860962567,3863.9379546835808,2640.0,0.03,-6.0,0.033078535055802265,0.03531213017070995,,1.0,,,,,1146.874457532069,-1146.874457532069,1.0,73.38916416406161,564.3866265541509,-564.3866265541506,1.0,68.45181098517529,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025","no-filter heuristic, no forced home retention"
rc_menu_ablation_v2,ablation,support,,,20260411T110227Z_9d859ce3,,9d859ce30dd51a4f0820dd290d8b2b14e5f14513,nogit-9ab21d3d44e4,,,,,,v2_no_route_delay_penalty,v2 no route-delay penalty,menu_optimization,3,v2_no_route_delay_penalty,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,,6.0,374.0,311893.3333333333,2651.0933333333337,471.7480166666667,228.2222222222222,2168.6130251385716,59.73812061332279,5459.938476747471,-5459.938476747471,114.1111111111111,3.6384432560903153,2.6384432560903153,0.0,0.0,0.30510992275698157,5308.805704099822,3168.7076047269406,3408.8770053475932,19.279956221990602,-5.638702953276067,0.035653818776666124,0.03805640026422321,,0.6948900772430184,,,,,542.135980784598,-542.135980784598,1.0,91.12406799011056,-40.35185019332029,40.35185019332039,0.38888888888888884,138.02760111749583,,,,,,3,"rc_0_to_1,rc_1_to_0,rc_0_to_1_seed2025","no-filter heuristic, no route-delay penalty"
