split_id,uptake_regime,baseline_policy,metric,adaptive_value,baseline_value,diff_adaptive_minus_baseline,direction
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,optout_rate,0.491170,0.491170,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,home_share,0.467991,0.467991,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,meeting_point_uptake_rate,0.040839,0.040839,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,service_time_total,193019.400000,193019.400000,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_no_menu,net_profit,-182757.178340,-194694.600000,11937.421660,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,operational_cost,182485.200000,194694.600000,-12209.400000,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,total_cost,183957.178340,194694.600000,-10737.421660,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,acceptance_rate,0.594132,0.524051,0.070081,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,served_rate,0.594132,0.524051,0.070081,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,optout_rate,0.405868,0.475949,-0.070081,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,home_share,0.484108,0.524051,-0.039943,baseline_better
formal_mainline_medium_seed0,medium,mainline_no_menu,meeting_point_uptake_rate,0.110024,0.000000,0.110024,adaptive_better
formal_mainline_medium_seed0,medium,mainline_no_menu,service_time_total,182485.200000,194694.600000,-12209.400000,adaptive_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,net_profit,-182757.178340,-179452.412407,-3304.765932,baseline_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,operational_cost,182485.200000,179263.200000,3222.000000,baseline_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,total_cost,183957.178340,180633.945930,3323.232410,baseline_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,acceptance_rate,0.594132,0.559281,0.034851,adaptive_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,served_rate,0.594132,0.559281,0.034851,adaptive_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,optout_rate,0.405868,0.440719,-0.034851,adaptive_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,home_share,0.484108,0.469461,0.014647,adaptive_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,meeting_point_uptake_rate,0.110024,0.089820,0.020204,adaptive_better
formal_mainline_medium_seed0,medium,mainline_fixed_menu,service_time_total,182485.200000,179263.200000,3222.000000,baseline_better
formal_mainline_medium_seed0,medium,mainline_random_menu,net_profit,-182757.178340,-186408.386343,3651.208004,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,operational_cost,182485.200000,186372.600000,-3887.400000,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,total_cost,183957.178340,187707.183571,-3750.005232,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,acceptance_rate,0.594132,0.548753,0.045379,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,served_rate,0.594132,0.548753,0.045379,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,optout_rate,0.405868,0.451247,-0.045379,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,home_share,0.484108,0.460317,0.023790,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,meeting_point_uptake_rate,0.110024,0.088435,0.021589,adaptive_better
formal_mainline_medium_seed0,medium,mainline_random_menu,service_time_total,182485.200000,186372.600000,-3887.400000,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,net_profit,-182757.178340,-189864.000000,7106.821660,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,operational_cost,182485.200000,189864.000000,-7378.800000,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,total_cost,183957.178340,189864.000000,-5906.821660,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,acceptance_rate,0.594132,0.533561,0.060571,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,served_rate,0.594132,0.533561,0.060571,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,optout_rate,0.405868,0.466439,-0.060571,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,home_share,0.484108,0.480091,0.004017,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,meeting_point_uptake_rate,0.110024,0.053470,0.056555,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_m,service_time_total,182485.200000,189864.000000,-7378.800000,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,net_profit,-182757.178340,-181515.600000,-1241.578340,baseline_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,operational_cost,182485.200000,181515.600000,969.600000,baseline_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,total_cost,183957.178340,181515.600000,2441.578340,baseline_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,acceptance_rate,0.594132,0.528445,0.065687,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,served_rate,0.594132,0.528445,0.065687,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,optout_rate,0.405868,0.471555,-0.065687,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,home_share,0.484108,0.508217,-0.024110,baseline_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,meeting_point_uptake_rate,0.110024,0.020228,0.089797,adaptive_better
formal_mainline_medium_seed0,medium,mainline_optimized_mw,service_time_total,182485.200000,181515.600000,969.600000,baseline_better
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,net_profit,-182757.178340,-182757.178340,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,operational_cost,182485.200000,182485.200000,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,total_cost,183957.178340,183957.178340,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,acceptance_rate,0.594132,0.594132,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,served_rate,0.594132,0.594132,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,optout_rate,0.405868,0.405868,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,home_share,0.484108,0.484108,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,meeting_point_uptake_rate,0.110024,0.110024,0.000000,tie
formal_mainline_medium_seed0,medium,mainline_optimized_fixed_window,service_time_total,182485.200000,182485.200000,0.000000,tie
formal_mainline_medium_seed1,medium,mainline_no_menu,net_profit,-177000.695321,-189414.600000,12413.904679,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,operational_cost,176496.000000,189414.600000,-12918.600000,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,total_cost,178140.695321,189414.600000,-11273.904679,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,acceptance_rate,0.576174,0.524051,0.052123,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,served_rate,0.576174,0.524051,0.052123,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,optout_rate,0.423826,0.475949,-0.052123,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,home_share,0.444444,0.524051,-0.079606,baseline_better
formal_mainline_medium_seed1,medium,mainline_no_menu,meeting_point_uptake_rate,0.131730,0.000000,0.131730,adaptive_better
formal_mainline_medium_seed1,medium,mainline_no_menu,service_time_total,176496.000000,189414.600000,-12918.600000,adaptive_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,net_profit,-177000.695321,-175019.284429,-1981.410892,baseline_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,operational_cost,176496.000000,174574.200000,1921.800000,baseline_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,total_cost,178140.695321,176054.284429,2086.410892,baseline_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,acceptance_rate,0.576174,0.511838,0.064336,adaptive_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,served_rate,0.576174,0.511838,0.064336,adaptive_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,optout_rate,0.423826,0.488162,-0.064336,adaptive_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,home_share,0.444444,0.417136,0.027308,adaptive_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,meeting_point_uptake_rate,0.131730,0.094701,0.037028,adaptive_better
formal_mainline_medium_seed1,medium,mainline_fixed_menu,service_time_total,176496.000000,174574.200000,1921.800000,baseline_better
formal_mainline_medium_seed1,medium,mainline_random_menu,net_profit,-177000.695321,-165472.752233,-11527.943087,baseline_better
formal_mainline_medium_seed1,medium,mainline_random_menu,operational_cost,176496.000000,165147.600000,11348.400000,baseline_better
formal_mainline_medium_seed1,medium,mainline_random_menu,total_cost,178140.695321,166512.752233,11627.943087,baseline_better
formal_mainline_medium_seed1,medium,mainline_random_menu,acceptance_rate,0.576174,0.534314,0.041860,adaptive_better
formal_mainline_medium_seed1,medium,mainline_random_menu,served_rate,0.576174,0.534314,0.041860,adaptive_better
formal_mainline_medium_seed1,medium,mainline_random_menu,optout_rate,0.423826,0.465686,-0.041860,adaptive_better
formal_mainline_medium_seed1,medium,mainline_random_menu,home_share,0.444444,0.433824,0.010621,adaptive_better
formal_mainline_medium_seed1,medium,mainline_random_menu,meeting_point_uptake_rate,0.131730,0.100490,0.031239,adaptive_better
formal_mainline_medium_seed1,medium,mainline_random_menu,service_time_total,176496.000000,165147.600000,11348.400000,baseline_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,net_profit,-177000.695321,-194548.200000,17547.504679,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,operational_cost,176496.000000,194548.200000,-18052.200000,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,total_cost,178140.695321,194548.200000,-16407.504679,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,acceptance_rate,0.576174,0.516593,0.059581,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,served_rate,0.576174,0.516593,0.059581,adaptive_better
formal_mainline_medium_seed1,medium,mainline_optimized_m,optout_rate,0.423826,0.483407,-0.059581,adaptive_better
